payment_id,payment_method,payment_status,payment_date
280,Cash,Paid,2025-05-27
281,UPI,Paid,2026-04-30
282,UPI,Paid,2025-09-10
283,UPI,Paid,2026-04-07
284,Card,Paid,2024-12-09
285,Wallet,Failed,2025-08-13
286,UPI,Paid,2026-05-27
287,UPI,Paid,2026-04-03
288,Net Banking,Paid,2025-02-02
289,UPI,Paid,2025-12-30
290,Card,Paid,2025-12-03
291,UPI,Failed,2025-08-30
292,UPI,Paid,2025-03-24
293,Card,Paid,2026-06-03
294,Card,Paid,2025-04-21
295,UPI,Paid,2025-03-26
296,UPI,Paid,2025-04-05
297,Card,Refunded,2026-04-20
298,UPI,Paid,2025-01-30
299,Card,Paid,2026-05-03
300,UPI,Paid,2024-10-09
301,UPI,Paid,2026-06-24
302,UPI,Paid,2024-12-08
303,UPI,Paid,2026-03-11
304,UPI,Paid,2026-07-04
305,UPI,Paid,2025-02-28
306,UPI,Paid,2024-11-11
307,Wallet,Pending,2026-02-21
308,Wallet,Paid,2025-04-19
309,Card,Paid,2026-02-27
310,Wallet,Paid,2024-11-29
311,Cash,Paid,2025-11-02
312,Wallet,Paid,2024-12-14
313,Cash,Paid,2026-01-29
314,UPI,Paid,2026-03-05
315,UPI,Paid,2025-07-02
316,Wallet,Paid,2025-12-18
317,UPI,Paid,2025-05-21
318,UPI,Pending,2025-09-11
319,Wallet,Paid,2025-02-04
320,UPI,Paid,2024-11-16
321,UPI,Paid,2025-03-10
322,Cash,Paid,2024-11-13
323,Net Banking,Paid,2024-12-28
324,Wallet,Paid,2024-11-11
325,Wallet,Paid,2025-04-08
326,UPI,Refunded,2025-06-03
327,UPI,Paid,2025-11-02
328,UPI,Paid,2026-07-06
329,UPI,Paid,2025-01-05
330,UPI,Paid,2026-05-08
331,UPI,Paid,2024-09-01
332,Card,Paid,2026-06-27
333,Net Banking,Failed,2025-11-28
334,Cash,Paid,2025-04-11
335,UPI,Paid,2025-09-02
336,UPI,Paid,2025-08-08
337,UPI,Paid,2024-11-08
338,UPI,Paid,2024-08-29
339,UPI,Paid,2024-10-29
340,Wallet,Paid,2025-12-02
341,UPI,Paid,2025-07-08
342,UPI,Paid,2025-08-04
343,Card,Paid,2025-07-03
344,Card,Paid,2025-11-12
345,UPI,Paid,2025-12-13
346,Net Banking,Paid,2026-05-22
347,UPI,Paid,2025-07-30
348,Net Banking,Paid,2026-06-23
349,UPI,Paid,2025-07-18
350,Cash,Paid,2025-01-31
351,Card,Paid,2024-12-31
352,UPI,Paid,2026-04-29
353,Card,Paid,2026-05-19
354,Card,Paid,2026-03-03
355,UPI,Paid,2025-10-06
356,UPI,Pending,2026-06-09
357,Net Banking,Paid,2024-12-05
358,Net Banking,Paid,2025-01-31
359,Card,Paid,2025-05-23
360,Card,Paid,2025-10-02
361,Net Banking,Paid,2024-09-10
362,Card,Paid,2025-11-13
363,UPI,Paid,2026-01-22
364,Cash,Paid,2025-03-27
365,UPI,Paid,2025-09-04
366,Cash,Paid,2025-01-08
367,Cash,Paid,2025-09-02
368,Wallet,Refunded,2024-08-23
369,Card,Paid,2026-01-15
370,Net Banking,Paid,2024-10-12
371,UPI,Failed,2024-11-05
372,UPI,Paid,2026-01-05
373,Cash,Paid,2024-12-31
374,Wallet,Pending,2026-07-02
375,Cash,Paid,2026-04-13
376,UPI,Paid,2024-09-14
377,Cash,Paid,2025-05-29
378,UPI,Paid,2025-07-11
379,UPI,Paid,2025-12-01
380,UPI,Paid,2026-07-12
381,Net Banking,Paid,2026-04-22
382,UPI,Paid,2025-10-07
383,Card,Paid,2024-09-26
384,Net Banking,Paid,2026-01-14
385,Card,Paid,2025-06-05
386,Net Banking,Paid,2024-12-03
387,UPI,Refunded,2025-11-07
388,Net Banking,Paid,2024-12-17
389,UPI,Paid,2024-08-06
390,Cash,Paid,2025-08-25
391,Cash,Paid,2025-11-23
392,UPI,Paid,2026-05-25
393,UPI,Paid,2024-10-24
394,Card,Paid,2025-02-23
395,Card,Refunded,2026-03-15
396,Wallet,Paid,2026-05-08
397,UPI,Paid,2026-01-10
398,Card,Paid,2025-02-12
399,UPI,Paid,2025-07-11
400,Card,Paid,2026-07-31
401,Card,Paid,2026-03-02
402,Card,Paid,2024-12-29
403,UPI,Paid,2025-10-12
404,UPI,Failed,2026-07-07
405,UPI,Refunded,2025-07-12
406,Card,Paid,2025-03-16
407,Card,Paid,2024-12-28
408,UPI,Paid,2026-02-24
409,Cash,Paid,2024-09-27
410,UPI,Paid,2024-10-31
411,UPI,Paid,2025-10-02
412,Card,Paid,2024-10-26
413,UPI,Refunded,2025-10-03
414,Card,Paid,2025-06-17
415,UPI,Paid,2025-03-19
416,Cash,Pending,2025-07-12
417,Card,Paid,2025-08-20
418,UPI,Paid,2025-03-13
419,Card,Paid,2024-09-13
420,UPI,Paid,2025-06-23
421,Cash,Paid,2025-06-09
422,Cash,Paid,2026-07-03
423,Cash,Pending,2025-12-21
424,Card,Paid,2025-07-29
425,UPI,Paid,2025-05-21
426,Wallet,Paid,2025-12-28
427,Card,Paid,2026-01-10
428,UPI,Paid,2025-10-03
429,Wallet,Refunded,2026-06-11
430,UPI,Paid,2024-09-15
431,UPI,Paid,2025-01-05
432,Card,Paid,2024-10-21
433,UPI,Paid,2025-03-14
434,Wallet,Paid,2026-06-20
435,Wallet,Paid,2025-12-04
436,Net Banking,Paid,2025-10-30
437,Net Banking,Paid,2025-05-25
438,UPI,Paid,2026-03-07
439,Card,Paid,2026-02-09
440,Cash,Paid,2026-07-08
441,Card,Pending,2026-02-21
442,UPI,Paid,2025-11-12
443,Card,Paid,2026-07-10
444,Wallet,Paid,2024-11-04
445,UPI,Refunded,2026-04-21
446,Cash,Paid,2026-02-24
447,UPI,Paid,2025-12-13
448,Card,Paid,2025-05-30
449,Card,Paid,2025-03-23
450,Card,Paid,2025-08-02
451,Card,Refunded,2024-09-20
452,UPI,Paid,2025-06-30
453,Card,Paid,2025-08-20
454,UPI,Paid,2025-04-06
455,UPI,Paid,2025-10-21
456,UPI,Paid,2025-03-20
457,Net Banking,Paid,2026-03-13
458,Wallet,Paid,2025-06-05
459,Card,Paid,2026-06-09
460,Net Banking,Paid,2025-03-31
461,Cash,Paid,2025-05-03
462,Wallet,Paid,2025-02-23
463,Cash,Refunded,2025-01-14
464,UPI,Paid,2025-04-24
465,UPI,Paid,2026-02-27
466,Card,Refunded,2026-05-17
467,UPI,Paid,2026-05-31
468,Cash,Failed,2024-09-27
469,UPI,Paid,2026-01-31
470,Cash,Paid,2026-07-26
471,UPI,Paid,2024-10-22
472,UPI,Paid,2026-03-19
473,UPI,Paid,2026-08-03
474,UPI,Failed,2025-10-20
475,UPI,Paid,2025-06-17
476,Cash,Paid,2025-11-07
477,UPI,Paid,2025-05-14
478,Card,Paid,2026-07-19
479,UPI,Failed,2026-01-02
480,Cash,Paid,2025-05-16
481,UPI,Paid,2024-10-05
482,UPI,Paid,2025-04-06
483,UPI,Pending,2025-04-16
484,UPI,Pending,2026-01-11
485,UPI,Paid,2025-02-13
486,Cash,Paid,2025-07-07
487,UPI,Paid,2026-03-24
488,Cash,Pending,2024-10-20
489,UPI,Paid,2025-07-25
490,UPI,Pending,2025-05-31
491,Net Banking,Paid,2025-01-06
492,UPI,Paid,2026-05-30
493,UPI,Failed,2024-11-27
494,UPI,Paid,2025-02-23
495,Cash,Paid,2025-06-21
496,UPI,Pending,2026-03-01
497,UPI,Paid,2026-01-10
498,Card,Paid,2025-04-10
499,Card,Paid,2024-09-25
500,UPI,Paid,2024-10-06
501,UPI,Paid,2025-06-29
502,UPI,Paid,2025-09-25
503,UPI,Paid,2025-04-18
504,UPI,Paid,2025-05-04
505,UPI,Paid,2025-02-26
506,UPI,Paid,2026-01-20
507,UPI,Paid,2026-02-23
508,UPI,Pending,2025-08-07
509,UPI,Paid,2025-10-22
510,Card,Failed,2025-12-22
511,Wallet,Paid,2025-09-10
512,Net Banking,Failed,2024-11-06
513,UPI,Paid,2024-12-31
514,UPI,Paid,2025-12-09
515,UPI,Paid,2025-07-13
516,Cash,Paid,2026-06-01
517,UPI,Paid,2024-10-01
518,Cash,Paid,2025-12-06
519,Card,Paid,2024-11-18
520,UPI,Paid,2026-07-13
521,Cash,Paid,2024-09-11
522,Card,Paid,2026-03-27
523,UPI,Paid,2026-01-19
524,Card,Paid,2025-04-09
525,UPI,Paid,2025-09-05
526,UPI,Paid,2025-02-24
527,Cash,Paid,2025-01-14
528,Card,Paid,2025-04-16
529,UPI,Paid,2025-08-13
530,UPI,Paid,2026-03-02
531,UPI,Paid,2025-06-02
532,Net Banking,Paid,2025-07-05
533,UPI,Paid,2026-01-17
534,UPI,Paid,2024-12-18
535,UPI,Paid,2026-03-03
536,Wallet,Paid,2025-10-23
537,UPI,Paid,2026-02-01
538,Cash,Paid,2025-06-26
539,UPI,Paid,2025-05-13
540,UPI,Paid,2026-03-07
541,Cash,Paid,2026-03-31
542,UPI,Paid,2025-06-24
543,Card,Paid,2026-01-08
544,UPI,Paid,2025-11-12
545,UPI,Paid,2026-04-14
546,UPI,Refunded,2025-02-08
547,Card,Paid,2024-08-19
548,UPI,Paid,2024-11-21
549,UPI,Paid,2025-11-09
550,Cash,Paid,2026-04-16
551,UPI,Paid,2026-05-20
552,Wallet,Paid,2024-10-24
553,Card,Paid,2025-03-11
554,UPI,Paid,2025-05-11
555,UPI,Paid,2024-12-30
556,Net Banking,Paid,2025-12-06
557,UPI,Failed,2026-06-17
558,UPI,Pending,2025-05-09
559,Cash,Paid,2025-10-21
560,UPI,Paid,2025-06-14
561,Net Banking,Failed,2024-09-25
562,Net Banking,Paid,2024-12-12
563,UPI,Paid,2025-03-22
564,UPI,Paid,2024-12-26
565,UPI,Paid,2025-08-22
566,Cash,Paid,2026-03-26
567,UPI,Paid,2025-05-20
568,Wallet,Paid,2025-08-24
569,UPI,Paid,2026-04-13
570,UPI,Paid,2026-03-17
571,UPI,Paid,2024-08-31
572,Wallet,Paid,2024-10-01
573,Card,Paid,2026-07-27
574,UPI,Paid,2024-12-03
575,UPI,Failed,2025-02-25
576,Card,Paid,2026-05-28
577,Card,Paid,2024-09-08
578,Net Banking,Paid,2026-03-09
579,UPI,Paid,2025-09-02
580,UPI,Paid,2025-10-06
581,Card,Failed,2024-12-22
582,Card,Paid,2026-07-07
583,UPI,Paid,2025-05-26
584,UPI,Paid,2025-01-28
585,Wallet,Paid,2025-06-04
586,UPI,Failed,2026-03-24
587,UPI,Paid,2025-09-30
588,UPI,Refunded,2025-08-27
589,UPI,Paid,2026-02-09
590,Card,Pending,2026-06-17
591,UPI,Paid,2025-02-13
592,UPI,Pending,2025-12-04
593,Cash,Pending,2026-01-10
594,Net Banking,Paid,2025-12-17
595,Net Banking,Paid,2024-12-23
596,Card,Refunded,2026-04-26
597,Card,Paid,2025-10-01
598,UPI,Paid,2025-10-04
599,Net Banking,Paid,2025-08-12
600,Card,Paid,2026-07-04
601,Card,Paid,2026-06-20
602,UPI,Paid,2024-10-22
603,UPI,Paid,2025-08-14
604,Card,Pending,2024-12-01
605,UPI,Paid,2025-09-06
606,UPI,Paid,2025-01-30
607,UPI,Paid,2025-04-28
608,UPI,Paid,2025-07-24
609,Card,Paid,2025-10-15
610,Cash,Paid,2026-02-11
611,Card,Paid,2026-05-15
612,Cash,Refunded,2024-10-29
613,Net Banking,Paid,2025-04-26
614,UPI,Paid,2025-05-01
615,Card,Paid,2024-08-25
616,UPI,Paid,2025-04-15
617,Cash,Paid,2025-04-12
618,UPI,Pending,2025-03-16
619,Net Banking,Paid,2025-12-20
620,UPI,Paid,2025-09-01
621,UPI,Failed,2025-06-20
622,UPI,Paid,2026-04-19
623,UPI,Paid,2024-09-08
624,Net Banking,Paid,2025-03-22
625,UPI,Pending,2026-03-14
626,Card,Paid,2025-09-18
627,UPI,Paid,2025-12-31
628,UPI,Paid,2025-07-12
629,UPI,Paid,2025-12-27
630,UPI,Paid,2026-04-03
631,UPI,Paid,2026-08-03
632,Cash,Paid,2025-03-11
633,Card,Paid,2025-09-08
634,UPI,Paid,2025-03-29
635,UPI,Paid,2026-03-01
636,Cash,Paid,2025-01-16
637,Cash,Paid,2024-09-03
638,UPI,Paid,2025-05-11
639,UPI,Paid,2026-04-26
640,Net Banking,Paid,2026-08-04
641,Net Banking,Paid,2024-12-10
642,Card,Paid,2024-11-15
643,UPI,Pending,2024-08-29
644,UPI,Pending,2025-02-11
645,Wallet,Paid,2026-01-12
646,Card,Paid,2025-05-04
647,UPI,Paid,2025-11-26
648,UPI,Paid,2026-07-14
649,UPI,Paid,2025-09-18
650,UPI,Paid,2026-05-25
651,Net Banking,Paid,2025-04-08
652,UPI,Paid,2025-02-06
653,Cash,Paid,2025-07-06
654,UPI,Paid,2026-04-28
655,UPI,Paid,2024-08-18
656,UPI,Paid,2024-11-11
657,Card,Paid,2025-04-24
658,UPI,Paid,2025-05-12
659,Card,Paid,2025-05-17
660,UPI,Paid,2026-03-07
661,UPI,Paid,2025-04-16
662,UPI,Paid,2025-06-14
663,UPI,Paid,2025-12-30
664,UPI,Paid,2026-07-20
665,UPI,Paid,2025-02-24
666,UPI,Failed,2026-03-24
667,UPI,Paid,2024-08-27
668,UPI,Pending,2025-08-27
669,Card,Paid,2025-10-16
670,UPI,Paid,2026-01-18
671,Card,Paid,2024-12-22
672,Net Banking,Paid,2026-07-19
673,UPI,Paid,2025-06-11
674,Cash,Paid,2026-07-04
675,Cash,Paid,2024-11-15
676,Cash,Pending,2026-02-02
677,Cash,Paid,2024-11-24
678,Card,Paid,2026-05-13
679,UPI,Paid,2025-06-28
680,Card,Paid,2024-09-06
681,Cash,Paid,2024-09-18
682,UPI,Paid,2025-11-02
683,UPI,Paid,2026-01-29
684,UPI,Paid,2024-10-11
685,UPI,Paid,2025-03-30
686,UPI,Paid,2024-12-07
687,Card,Paid,2026-06-24
688,Cash,Paid,2025-10-15
689,Card,Paid,2025-07-19
690,UPI,Paid,2025-01-01
691,UPI,Paid,2025-03-09
692,Card,Paid,2025-06-03
693,Net Banking,Paid,2026-03-29
694,Card,Refunded,2024-10-13
695,Cash,Paid,2025-04-12
696,Wallet,Paid,2026-05-05
697,Card,Paid,2024-10-28
698,UPI,Paid,2026-06-20
699,Wallet,Paid,2026-02-11
700,Card,Paid,2025-12-15
701,Card,Paid,2026-03-08
702,Card,Paid,2025-05-03
703,UPI,Paid,2025-10-28
704,Card,Paid,2026-01-15
705,UPI,Failed,2025-02-07
706,Wallet,Paid,2025-01-10
707,UPI,Paid,2026-05-03
708,Card,Paid,2024-12-31
709,UPI,Paid,2025-04-04
710,Card,Paid,2025-12-27
711,UPI,Paid,2024-11-03
712,UPI,Paid,2025-06-08
713,Card,Paid,2025-10-08
714,Cash,Failed,2025-03-29
715,UPI,Paid,2025-10-22
716,UPI,Paid,2024-08-29
717,UPI,Pending,2026-03-24
718,UPI,Paid,2024-11-15
719,UPI,Paid,2025-06-30
720,UPI,Failed,2026-04-28
721,Card,Paid,2026-05-22
722,Net Banking,Paid,2024-10-07
723,Card,Failed,2024-12-30
724,Cash,Paid,2025-09-21
725,Card,Failed,2026-06-19
726,UPI,Paid,2025-02-10
727,Card,Paid,2024-10-25
728,UPI,Paid,2025-08-07
729,Cash,Paid,2026-08-04
730,Card,Paid,2025-03-06
731,UPI,Refunded,2025-09-20
732,Net Banking,Paid,2026-05-22
733,Card,Paid,2025-06-21
734,UPI,Paid,2025-11-30
735,Card,Paid,2025-11-02
736,UPI,Pending,2025-11-30
737,UPI,Paid,2024-10-19
738,UPI,Paid,2026-04-09
739,UPI,Failed,2025-06-05
740,Cash,Paid,2026-05-07
741,UPI,Paid,2025-06-18
742,UPI,Paid,2026-05-02
743,Cash,Paid,2025-12-13
744,Card,Pending,2026-06-05
745,Cash,Paid,2025-06-21
746,UPI,Paid,2024-08-12
747,UPI,Paid,2024-09-16
748,UPI,Paid,2026-07-08
749,Wallet,Paid,2025-11-24
750,UPI,Paid,2025-04-17
751,Card,Paid,2025-11-21
752,UPI,Paid,2024-10-15
753,Card,Paid,2025-12-19
754,Wallet,Paid,2026-02-24
755,UPI,Paid,2026-05-28
756,UPI,Paid,2026-03-14
757,UPI,Paid,2025-12-26
758,Wallet,Paid,2024-12-03
759,UPI,Paid,2026-01-10
760,Card,Paid,2025-11-14
761,Cash,Paid,2025-03-21
762,Net Banking,Paid,2024-10-21
763,UPI,Paid,2025-10-21
764,Net Banking,Paid,2024-09-17
765,Net Banking,Paid,2026-02-26
766,UPI,Paid,2026-01-09
767,Card,Paid,2025-10-26
768,Card,Paid,2025-05-06
769,UPI,Paid,2024-09-26
770,UPI,Paid,2026-03-06
771,UPI,Paid,2026-03-16
772,UPI,Paid,2024-12-03
773,Wallet,Paid,2024-09-10
774,UPI,Pending,2025-05-30
775,Card,Paid,2025-06-19
776,Cash,Paid,2025-02-10
777,UPI,Paid,2025-08-03
778,Cash,Failed,2025-12-08
779,UPI,Paid,2025-08-02
780,Cash,Paid,2024-10-06
781,UPI,Paid,2024-09-07
782,UPI,Paid,2025-01-23
783,Card,Failed,2026-02-18
784,UPI,Paid,2025-05-04
785,Net Banking,Paid,2025-07-29
786,Card,Paid,2026-01-11
787,Cash,Paid,2025-12-30
788,UPI,Paid,2024-08-16
789,Cash,Paid,2024-10-21
790,UPI,Paid,2024-08-15
791,UPI,Paid,2025-09-08
792,Net Banking,Paid,2025-08-11
793,UPI,Paid,2025-08-16
794,Card,Paid,2024-12-05
795,UPI,Paid,2024-08-27
796,UPI,Paid,2025-03-12
797,Card,Paid,2026-06-07
798,UPI,Paid,2025-11-23
799,Net Banking,Paid,2024-12-15
800,UPI,Paid,2024-11-27
801,Net Banking,Paid,2025-02-23
802,Card,Paid,2025-11-01
803,UPI,Paid,2026-05-02
804,Net Banking,Paid,2024-09-29
805,UPI,Paid,2024-09-17
806,UPI,Paid,2025-07-18
807,UPI,Paid,2025-10-26
808,UPI,Paid,2024-09-27
809,UPI,Paid,2026-01-21
810,Net Banking,Paid,2024-10-14
811,Cash,Paid,2026-03-31
812,Net Banking,Paid,2026-05-24
813,Net Banking,Paid,2026-08-05
814,Card,Failed,2024-09-07
815,Net Banking,Paid,2025-09-11
816,Card,Paid,2026-07-03
817,UPI,Paid,2026-04-11
818,UPI,Paid,2026-02-15
