inventory_id,product_id,stock_quantity,reorder_level,warehouse,last_updated
172,172,299,10,East Hub (Kolkata),2026-08-05
173,173,317,10,North Hub (Delhi),2026-08-05
174,174,211,50,West Hub (Mumbai),2026-08-05
175,175,113,10,South Hub (Bengaluru),2026-08-05
176,176,263,100,South Hub (Bengaluru),2026-08-05
177,177,473,20,West Hub (Mumbai),2026-08-05
178,178,412,50,North Hub (Delhi),2026-08-05
179,179,25,100,South Hub (Bengaluru),2026-08-05
180,180,251,100,West Hub (Mumbai),2026-08-05
181,181,105,20,North Hub (Delhi),2026-08-05
182,182,338,50,North Hub (Delhi),2026-08-05
183,183,21,20,West Hub (Mumbai),2026-08-05
184,184,471,20,South Hub (Bengaluru),2026-08-05
185,185,320,100,West Hub (Mumbai),2026-08-05
186,186,217,100,West Hub (Mumbai),2026-08-05
187,187,298,100,East Hub (Kolkata),2026-08-05
188,188,482,20,North Hub (Delhi),2026-08-05
189,189,343,20,South Hub (Bengaluru),2026-08-05
190,190,405,20,East Hub (Kolkata),2026-08-05
191,191,103,50,South Hub (Bengaluru),2026-08-05
192,192,457,10,West Hub (Mumbai),2026-08-05
193,193,441,100,North Hub (Delhi),2026-08-05
194,194,64,100,South Hub (Bengaluru),2026-08-05
195,195,251,20,East Hub (Kolkata),2026-08-05
196,196,23,50,West Hub (Mumbai),2026-08-05
197,197,50,100,East Hub (Kolkata),2026-08-05
198,198,47,50,South Hub (Bengaluru),2026-08-05
199,199,60,100,North Hub (Delhi),2026-08-05
200,200,292,10,West Hub (Mumbai),2026-08-05
201,201,346,20,East Hub (Kolkata),2026-08-05
202,202,486,100,South Hub (Bengaluru),2026-08-05
203,203,498,10,South Hub (Bengaluru),2026-08-05
204,204,243,100,North Hub (Delhi),2026-08-05
205,205,335,10,South Hub (Bengaluru),2026-08-05
206,206,260,10,South Hub (Bengaluru),2026-08-05
207,207,23,20,South Hub (Bengaluru),2026-08-05
208,208,52,50,North Hub (Delhi),2026-08-05
209,209,416,20,South Hub (Bengaluru),2026-08-05
210,210,63,100,East Hub (Kolkata),2026-08-05
211,211,131,100,South Hub (Bengaluru),2026-08-05
212,212,482,100,North Hub (Delhi),2026-08-05
213,213,253,50,West Hub (Mumbai),2026-08-05
214,214,238,10,South Hub (Bengaluru),2026-08-05
215,215,412,50,West Hub (Mumbai),2026-08-05
216,216,1,10,East Hub (Kolkata),2026-08-05
217,217,442,50,East Hub (Kolkata),2026-08-05
218,218,439,50,West Hub (Mumbai),2026-08-05
219,219,372,20,South Hub (Bengaluru),2026-08-05
220,220,429,100,North Hub (Delhi),2026-08-05
221,221,157,100,South Hub (Bengaluru),2026-08-05
222,222,342,50,North Hub (Delhi),2026-08-05
223,223,337,50,North Hub (Delhi),2026-08-05
224,224,314,10,West Hub (Mumbai),2026-08-05
225,225,67,50,North Hub (Delhi),2026-08-05
226,226,417,100,North Hub (Delhi),2026-08-05
227,227,310,50,East Hub (Kolkata),2026-08-05
228,228,199,10,North Hub (Delhi),2026-08-05
229,229,297,10,North Hub (Delhi),2026-08-05
230,230,199,100,East Hub (Kolkata),2026-08-05
231,231,374,10,North Hub (Delhi),2026-08-05
232,232,313,10,East Hub (Kolkata),2026-08-05
233,233,37,20,North Hub (Delhi),2026-08-05
234,234,403,100,South Hub (Bengaluru),2026-08-05
235,235,90,50,West Hub (Mumbai),2026-08-05
236,236,267,100,East Hub (Kolkata),2026-08-05
237,237,192,50,East Hub (Kolkata),2026-08-05
238,238,298,100,North Hub (Delhi),2026-08-05
239,239,287,100,North Hub (Delhi),2026-08-05
240,240,85,20,North Hub (Delhi),2026-08-05
241,241,464,10,South Hub (Bengaluru),2026-08-05
242,242,312,50,South Hub (Bengaluru),2026-08-05
243,243,340,20,East Hub (Kolkata),2026-08-05
244,244,454,50,South Hub (Bengaluru),2026-08-05
245,245,50,100,West Hub (Mumbai),2026-08-05
246,246,412,50,West Hub (Mumbai),2026-08-05
247,247,332,50,East Hub (Kolkata),2026-08-05
248,248,468,100,South Hub (Bengaluru),2026-08-05
249,249,186,10,South Hub (Bengaluru),2026-08-05
250,250,155,10,North Hub (Delhi),2026-08-05
251,251,4,50,North Hub (Delhi),2026-08-05
252,252,358,50,East Hub (Kolkata),2026-08-05
253,253,479,20,East Hub (Kolkata),2026-08-05
254,254,253,10,East Hub (Kolkata),2026-08-05
255,255,49,50,West Hub (Mumbai),2026-08-05
256,256,465,100,East Hub (Kolkata),2026-08-05
257,257,190,10,East Hub (Kolkata),2026-08-05
258,258,248,50,East Hub (Kolkata),2026-08-05
259,259,486,50,South Hub (Bengaluru),2026-08-05
260,260,453,20,East Hub (Kolkata),2026-08-05
261,261,43,50,West Hub (Mumbai),2026-08-05
262,262,138,20,South Hub (Bengaluru),2026-08-05
263,263,197,100,South Hub (Bengaluru),2026-08-05
264,264,162,100,West Hub (Mumbai),2026-08-05
265,265,80,100,North Hub (Delhi),2026-08-05
266,266,347,20,South Hub (Bengaluru),2026-08-05
267,267,345,10,West Hub (Mumbai),2026-08-05
268,268,195,10,North Hub (Delhi),2026-08-05
269,269,147,10,East Hub (Kolkata),2026-08-05
270,270,468,10,West Hub (Mumbai),2026-08-05
271,271,335,50,North Hub (Delhi),2026-08-05
272,272,168,10,West Hub (Mumbai),2026-08-05
273,273,305,20,South Hub (Bengaluru),2026-08-05
274,274,158,10,West Hub (Mumbai),2026-08-05
275,275,9,20,West Hub (Mumbai),2026-08-05
276,276,315,20,North Hub (Delhi),2026-08-05
277,277,171,50,West Hub (Mumbai),2026-08-05
278,278,427,20,West Hub (Mumbai),2026-08-05
279,279,11,50,West Hub (Mumbai),2026-08-05
280,280,445,20,East Hub (Kolkata),2026-08-05
281,281,255,100,South Hub (Bengaluru),2026-08-05
282,282,341,50,North Hub (Delhi),2026-08-05
283,283,137,100,North Hub (Delhi),2026-08-05
284,284,481,50,East Hub (Kolkata),2026-08-05
285,285,127,50,North Hub (Delhi),2026-08-05
286,286,352,100,West Hub (Mumbai),2026-08-05
287,287,395,100,East Hub (Kolkata),2026-08-05
288,288,246,100,East Hub (Kolkata),2026-08-05
289,289,116,50,South Hub (Bengaluru),2026-08-05
290,290,248,100,West Hub (Mumbai),2026-08-05
291,291,365,50,South Hub (Bengaluru),2026-08-05
292,292,199,10,North Hub (Delhi),2026-08-05
293,293,274,100,South Hub (Bengaluru),2026-08-05
294,294,106,50,South Hub (Bengaluru),2026-08-05
295,295,219,10,North Hub (Delhi),2026-08-05
296,296,476,50,West Hub (Mumbai),2026-08-05
297,297,10,20,North Hub (Delhi),2026-08-05
298,298,287,10,East Hub (Kolkata),2026-08-05
299,299,142,10,North Hub (Delhi),2026-08-05
300,300,17,10,East Hub (Kolkata),2026-08-05
301,301,263,100,South Hub (Bengaluru),2026-08-05
302,302,448,50,South Hub (Bengaluru),2026-08-05
303,303,91,10,North Hub (Delhi),2026-08-05
304,304,233,10,East Hub (Kolkata),2026-08-05
305,305,71,100,West Hub (Mumbai),2026-08-05
306,306,197,50,South Hub (Bengaluru),2026-08-05
307,307,86,50,West Hub (Mumbai),2026-08-05
308,308,347,10,West Hub (Mumbai),2026-08-05
309,309,428,10,South Hub (Bengaluru),2026-08-05
310,310,482,20,East Hub (Kolkata),2026-08-05
311,311,477,10,East Hub (Kolkata),2026-08-05
312,312,391,20,North Hub (Delhi),2026-08-05
313,313,186,10,East Hub (Kolkata),2026-08-05
314,314,197,10,East Hub (Kolkata),2026-08-05
315,315,268,20,North Hub (Delhi),2026-08-05
316,316,308,100,North Hub (Delhi),2026-08-05
317,317,54,100,North Hub (Delhi),2026-08-05
318,318,48,100,South Hub (Bengaluru),2026-08-05
319,319,438,100,South Hub (Bengaluru),2026-08-05
320,320,15,100,South Hub (Bengaluru),2026-08-05
321,321,465,100,North Hub (Delhi),2026-08-05
322,322,89,100,West Hub (Mumbai),2026-08-05
323,323,422,50,West Hub (Mumbai),2026-08-05
324,324,250,100,North Hub (Delhi),2026-08-05
325,325,314,20,West Hub (Mumbai),2026-08-05
326,326,344,100,North Hub (Delhi),2026-08-05
327,327,285,20,North Hub (Delhi),2026-08-05
328,328,394,50,East Hub (Kolkata),2026-08-05
329,329,207,50,East Hub (Kolkata),2026-08-05
330,330,125,50,South Hub (Bengaluru),2026-08-05
331,331,119,50,South Hub (Bengaluru),2026-08-05
332,332,3,10,South Hub (Bengaluru),2026-08-05
333,333,232,20,East Hub (Kolkata),2026-08-05
334,334,3,10,South Hub (Bengaluru),2026-08-05
335,335,459,10,South Hub (Bengaluru),2026-08-05
336,336,26,100,South Hub (Bengaluru),2026-08-05
337,337,449,100,West Hub (Mumbai),2026-08-05
338,338,110,20,West Hub (Mumbai),2026-08-05
339,339,309,10,West Hub (Mumbai),2026-08-05
340,340,238,10,West Hub (Mumbai),2026-08-05
341,341,18,10,West Hub (Mumbai),2026-08-05
342,342,210,10,East Hub (Kolkata),2026-08-05
343,343,184,10,South Hub (Bengaluru),2026-08-05
344,344,472,50,East Hub (Kolkata),2026-08-05
345,345,445,50,West Hub (Mumbai),2026-08-05
346,346,187,100,West Hub (Mumbai),2026-08-05
347,347,253,20,West Hub (Mumbai),2026-08-05
348,348,123,100,West Hub (Mumbai),2026-08-05
349,349,263,50,South Hub (Bengaluru),2026-08-05
350,350,73,50,South Hub (Bengaluru),2026-08-05
351,351,72,100,East Hub (Kolkata),2026-08-05
352,352,427,50,East Hub (Kolkata),2026-08-05
353,353,26,20,West Hub (Mumbai),2026-08-05
354,354,144,50,North Hub (Delhi),2026-08-05
355,355,291,10,West Hub (Mumbai),2026-08-05
356,356,87,10,North Hub (Delhi),2026-08-05
357,357,213,100,South Hub (Bengaluru),2026-08-05
358,358,407,10,North Hub (Delhi),2026-08-05
359,359,94,100,East Hub (Kolkata),2026-08-05
360,360,388,10,West Hub (Mumbai),2026-08-05
361,361,457,100,West Hub (Mumbai),2026-08-05
362,362,134,10,West Hub (Mumbai),2026-08-05
363,363,124,10,South Hub (Bengaluru),2026-08-05
364,364,193,10,South Hub (Bengaluru),2026-08-05
365,365,393,100,East Hub (Kolkata),2026-08-05
366,366,122,20,East Hub (Kolkata),2026-08-05
367,367,458,10,West Hub (Mumbai),2026-08-05
368,368,397,100,North Hub (Delhi),2026-08-05
369,369,345,50,East Hub (Kolkata),2026-08-05
370,370,157,100,West Hub (Mumbai),2026-08-05
371,371,457,100,South Hub (Bengaluru),2026-08-05
372,372,305,10,West Hub (Mumbai),2026-08-05
373,373,466,20,North Hub (Delhi),2026-08-05
374,374,368,10,North Hub (Delhi),2026-08-05
375,375,314,100,East Hub (Kolkata),2026-08-05
376,376,438,100,East Hub (Kolkata),2026-08-05
377,377,278,100,East Hub (Kolkata),2026-08-05
378,378,383,20,North Hub (Delhi),2026-08-05
379,379,314,100,West Hub (Mumbai),2026-08-05
380,380,146,50,West Hub (Mumbai),2026-08-05
381,381,219,100,North Hub (Delhi),2026-08-05
382,382,468,20,North Hub (Delhi),2026-08-05
383,383,411,50,East Hub (Kolkata),2026-08-05
384,384,225,100,North Hub (Delhi),2026-08-05
385,385,401,10,North Hub (Delhi),2026-08-05
386,386,354,10,North Hub (Delhi),2026-08-05
387,387,333,50,North Hub (Delhi),2026-08-05
388,388,463,100,South Hub (Bengaluru),2026-08-05
389,389,123,20,West Hub (Mumbai),2026-08-05
390,390,30,50,South Hub (Bengaluru),2026-08-05
391,391,75,10,North Hub (Delhi),2026-08-05
392,392,111,20,West Hub (Mumbai),2026-08-05
393,393,352,10,East Hub (Kolkata),2026-08-05
394,394,288,50,West Hub (Mumbai),2026-08-05
395,395,99,100,North Hub (Delhi),2026-08-05
396,396,204,10,South Hub (Bengaluru),2026-08-05
397,397,68,50,South Hub (Bengaluru),2026-08-05
398,398,365,10,North Hub (Delhi),2026-08-05
399,399,395,50,South Hub (Bengaluru),2026-08-05
400,400,191,50,North Hub (Delhi),2026-08-05
401,401,163,20,West Hub (Mumbai),2026-08-05
402,402,314,100,South Hub (Bengaluru),2026-08-05
403,403,314,50,North Hub (Delhi),2026-08-05
404,404,124,100,East Hub (Kolkata),2026-08-05
405,405,61,100,West Hub (Mumbai),2026-08-05
406,406,84,50,North Hub (Delhi),2026-08-05
407,407,287,50,West Hub (Mumbai),2026-08-05
408,408,443,10,South Hub (Bengaluru),2026-08-05
409,409,184,100,South Hub (Bengaluru),2026-08-05
410,410,245,20,North Hub (Delhi),2026-08-05
411,411,136,10,East Hub (Kolkata),2026-08-05
412,412,241,20,East Hub (Kolkata),2026-08-05
413,413,411,50,South Hub (Bengaluru),2026-08-05
414,414,232,10,West Hub (Mumbai),2026-08-05
415,415,300,50,South Hub (Bengaluru),2026-08-05
416,416,70,50,North Hub (Delhi),2026-08-05
417,417,195,100,East Hub (Kolkata),2026-08-05
418,418,469,10,North Hub (Delhi),2026-08-05
419,419,425,50,West Hub (Mumbai),2026-08-05
420,420,127,100,West Hub (Mumbai),2026-08-05
421,421,104,100,South Hub (Bengaluru),2026-08-05
422,422,362,100,East Hub (Kolkata),2026-08-05
423,423,434,20,North Hub (Delhi),2026-08-05
424,424,463,10,West Hub (Mumbai),2026-08-05
425,425,99,100,East Hub (Kolkata),2026-08-05
426,426,148,100,West Hub (Mumbai),2026-08-05
427,427,391,100,West Hub (Mumbai),2026-08-05
428,428,325,50,West Hub (Mumbai),2026-08-05
429,429,66,100,South Hub (Bengaluru),2026-08-05
430,430,410,100,West Hub (Mumbai),2026-08-05
431,431,365,10,East Hub (Kolkata),2026-08-05
432,432,325,50,West Hub (Mumbai),2026-08-05
433,433,0,50,West Hub (Mumbai),2026-08-05
434,434,452,50,East Hub (Kolkata),2026-08-05
435,435,18,100,South Hub (Bengaluru),2026-08-05
436,436,328,50,North Hub (Delhi),2026-08-05
437,437,64,10,North Hub (Delhi),2026-08-05
438,438,161,10,South Hub (Bengaluru),2026-08-05
439,439,175,50,South Hub (Bengaluru),2026-08-05
440,440,452,20,North Hub (Delhi),2026-08-05
441,441,347,20,East Hub (Kolkata),2026-08-05
442,442,376,50,South Hub (Bengaluru),2026-08-05
443,443,178,50,East Hub (Kolkata),2026-08-05
444,444,374,100,West Hub (Mumbai),2026-08-05
445,445,451,20,East Hub (Kolkata),2026-08-05
446,446,217,10,North Hub (Delhi),2026-08-05
447,447,236,100,West Hub (Mumbai),2026-08-05
448,448,88,20,South Hub (Bengaluru),2026-08-05
449,449,395,20,North Hub (Delhi),2026-08-05
450,450,130,100,East Hub (Kolkata),2026-08-05
451,451,489,50,South Hub (Bengaluru),2026-08-05
452,452,248,50,West Hub (Mumbai),2026-08-05
453,453,171,20,South Hub (Bengaluru),2026-08-05
454,454,136,100,East Hub (Kolkata),2026-08-05
455,455,370,20,North Hub (Delhi),2026-08-05
456,456,371,20,East Hub (Kolkata),2026-08-05
457,457,43,10,West Hub (Mumbai),2026-08-05
458,458,363,100,South Hub (Bengaluru),2026-08-05
459,459,495,100,West Hub (Mumbai),2026-08-05
460,460,268,50,West Hub (Mumbai),2026-08-05
461,461,84,50,South Hub (Bengaluru),2026-08-05
462,462,47,10,West Hub (Mumbai),2026-08-05
463,463,71,20,North Hub (Delhi),2026-08-05
464,464,98,100,West Hub (Mumbai),2026-08-05
465,465,168,50,South Hub (Bengaluru),2026-08-05
466,466,401,100,North Hub (Delhi),2026-08-05
467,467,259,100,West Hub (Mumbai),2026-08-05
468,468,323,100,West Hub (Mumbai),2026-08-05
469,469,403,100,West Hub (Mumbai),2026-08-05
470,470,197,20,South Hub (Bengaluru),2026-08-05
471,471,148,100,South Hub (Bengaluru),2026-08-05
472,472,142,50,South Hub (Bengaluru),2026-08-05
473,473,301,50,East Hub (Kolkata),2026-08-05
474,474,360,100,East Hub (Kolkata),2026-08-05
475,475,401,10,South Hub (Bengaluru),2026-08-05
476,476,306,50,East Hub (Kolkata),2026-08-05
477,477,129,20,West Hub (Mumbai),2026-08-05
478,478,63,10,West Hub (Mumbai),2026-08-05
479,479,432,100,South Hub (Bengaluru),2026-08-05
480,480,176,10,North Hub (Delhi),2026-08-05
481,481,398,100,West Hub (Mumbai),2026-08-05
482,482,497,10,West Hub (Mumbai),2026-08-05
483,483,333,20,East Hub (Kolkata),2026-08-05
484,484,77,100,West Hub (Mumbai),2026-08-05
485,485,286,10,West Hub (Mumbai),2026-08-05
486,486,253,50,East Hub (Kolkata),2026-08-05
487,487,287,10,South Hub (Bengaluru),2026-08-05
488,488,136,10,West Hub (Mumbai),2026-08-05
489,489,445,20,West Hub (Mumbai),2026-08-05
490,490,298,20,East Hub (Kolkata),2026-08-05
491,491,89,20,East Hub (Kolkata),2026-08-05
492,492,131,50,South Hub (Bengaluru),2026-08-05
493,493,74,50,North Hub (Delhi),2026-08-05
494,494,75,20,South Hub (Bengaluru),2026-08-05
495,495,269,100,East Hub (Kolkata),2026-08-05
496,496,84,10,West Hub (Mumbai),2026-08-05
497,497,275,20,West Hub (Mumbai),2026-08-05
498,498,182,100,East Hub (Kolkata),2026-08-05
499,499,355,10,West Hub (Mumbai),2026-08-05
500,500,238,10,West Hub (Mumbai),2026-08-05
501,501,376,10,South Hub (Bengaluru),2026-08-05
502,502,122,100,East Hub (Kolkata),2026-08-05
503,503,29,100,South Hub (Bengaluru),2026-08-05
504,504,90,50,North Hub (Delhi),2026-08-05
505,505,420,10,South Hub (Bengaluru),2026-08-05
506,506,170,10,South Hub (Bengaluru),2026-08-05
507,507,284,20,South Hub (Bengaluru),2026-08-05
508,508,457,20,East Hub (Kolkata),2026-08-05
509,509,230,10,South Hub (Bengaluru),2026-08-05
510,510,341,50,North Hub (Delhi),2026-08-05
511,511,450,20,North Hub (Delhi),2026-08-05
512,512,344,20,North Hub (Delhi),2026-08-05
513,513,464,10,West Hub (Mumbai),2026-08-05
514,514,262,10,East Hub (Kolkata),2026-08-05
515,515,132,100,North Hub (Delhi),2026-08-05
516,516,452,100,North Hub (Delhi),2026-08-05
517,517,285,50,East Hub (Kolkata),2026-08-05
518,518,179,50,South Hub (Bengaluru),2026-08-05
519,519,138,10,North Hub (Delhi),2026-08-05
520,520,113,20,North Hub (Delhi),2026-08-05
521,521,342,100,East Hub (Kolkata),2026-08-05
522,522,101,10,North Hub (Delhi),2026-08-05
523,523,160,20,South Hub (Bengaluru),2026-08-05
524,524,298,10,West Hub (Mumbai),2026-08-05
525,525,24,50,West Hub (Mumbai),2026-08-05
526,526,232,100,West Hub (Mumbai),2026-08-05
527,527,148,20,South Hub (Bengaluru),2026-08-05
528,528,168,10,East Hub (Kolkata),2026-08-05
529,529,426,20,West Hub (Mumbai),2026-08-05
530,530,395,50,North Hub (Delhi),2026-08-05
531,531,221,10,East Hub (Kolkata),2026-08-05
532,532,219,100,South Hub (Bengaluru),2026-08-05
533,533,457,50,East Hub (Kolkata),2026-08-05
534,534,317,20,West Hub (Mumbai),2026-08-05
535,535,194,100,North Hub (Delhi),2026-08-05
536,536,228,10,South Hub (Bengaluru),2026-08-05
